x: 8, y: 2, C: 1
x: 8, y: 0, C: 1
x: 9, y: 1, C: C
x: 7, y: 1, C: 0
x: 1, y: 5, C: 1
x: 1, y: 3, C: 0
x: 2, y: 4, C: 0
x: 0, y: 4, C: 1
x: 1, y: 4, C: P
x: 1, y: 2, C: 0
x: 2, y: 3, C: 1
x: 0, y: 3, C: 1
x: 2, y: 5, C: 1
x: 2, y: 3, C: 1
x: 3, y: 4, C: 0
x: 1, y: 4, C: P
x: 1, y: 3, C: 0
x: 1, y: 1, C: 0
x: 2, y: 2, C: 1
x: 0, y: 2, C: 1
x: 3, y: 5, C: 1
x: 3, y: 3, C: 1
x: 4, y: 4, C: 0
x: 2, y: 4, C: 0
x: 1, y: 2, C: 0
x: 1, y: 0, C: 1
x: 2, y: 1, C: 0
x: 0, y: 1, C: 1
x: 4, y: 5, C: 1
x: 4, y: 3, C: 1
x: 5, y: 4, C: 0
x: 3, y: 4, C: 0
x: 2, y: 2, C: 1
x: 2, y: 0, C: 1
x: 3, y: 1, C: 0
x: 1, y: 1, C: 0
x: 5, y: 5, C: 1
x: 5, y: 3, C: 1
x: 6, y: 4, C: E
x: 4, y: 4, C: 0
x: 3, y: 2, C: 1
x: 3, y: 0, C: 1
x: 4, y: 1, C: 0
x: 2, y: 1, C: 0
x: 4, y: 2, C: 1
x: 4, y: 0, C: 1
x: 5, y: 1, C: 0
x: 3, y: 1, C: 0
x: 5, y: 2, C: 1
x: 5, y: 0, C: 1
x: 6, y: 1, C: 0
x: 4, y: 1, C: 0
x: 6, y: 2, C: 1
x: 6, y: 0, C: 1
x: 7, y: 1, C: 0
x: 5, y: 1, C: 0
x: 7, y: 2, C: 1
x: 7, y: 0, C: 1
x: 8, y: 1, C: 0
x: 6, y: 1, C: 0
x: 8, y: 2, C: 1
x: 8, y: 0, C: 1
x: 9, y: 1, C: C
x: 7, y: 1, C: 0
